State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,Households_with_Computer,Graduate_Education,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Television,Having_latrine_facility_within_the_premises_Total_Households,Having_bathing_facility_Total_Households,Households_with_Television,sex_ratio,literacy_rate
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,16413,165403,33831,121856,44501,34586,152945,164002,164263,152945,90.0,61.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,1214,73999,5744,17345,3948,3800,37323,18063,21542,37323,87.0,58.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,9754,274726,37997,116396,247231,21098,179570,130956,149320,179570,92.0,62.0
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,590,27037,9115,21697,90400,2110,17627,18298,31242,17627,95.0,49.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,1944,130193,13550,43979,174959,3714,64890,42762,51685,64890,93.0,53.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,11568,427173,46646,107382,283681,18631,290580,198464,224918,290580,91.0,64.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,1193,62110,10396,25593,175375,2912,32443,26873,28625,32443,98.0,51.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,565,29373,8881,28144,108161,2671,21864,18018,37316,21864,94.0,49.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1944,125431,19976,55122,226550,6290,63911,42269,65411,63911,94.0,51.0
Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,874,43230,11925,30870,133332,1754,25764,26348,35837,25764,94.0,46.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,831,31687,7807,23742,130700,2181,18701,19545,19181,18701,99.0,55.0
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,808,49419,4959,14802,116861,1632,31194,14710,17759,31194,95.0,54.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,340,38194,6240,13956,63127,1268,10697,14317,16406,10697,97.0,48.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,351,28769,2954,13847,66235,1102,12504,13613,16335,12504,99.0,56.0
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,328,31414,4535,9822,102037,923,16500,18395,15762,16500,99.0,39.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,2155,68238,19981,63595,159105,8015,51012,46445,82133,51012,93.0,53.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,22538,350908,76565,195181,344888,34053,247137,227932,237057,247137,95.0,66.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,591,34879,9563,19832,95511,1285,24604,34451,35220,24604,95.0,42.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,423,16865,4649,13674,86022,1158,7606,9547,9228,7606,100.0,57.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,3745,301389,26297,82319,153879,9726,161280,66813,272956,161280,99.0,59.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,3729,214253,17066,51015,93908,10389,156967,179589,201156,156967,95.0,70.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,17560,808827,73497,201884,519937,35104,468274,316225,779974,468274,97.0,64.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,9626,440374,40190,89475,164714,14163,291101,156110,417150,291101,98.0,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,3971,271439,36072,54900,102869,9724,116314,72805,214601,116314,96.0,61.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,117,12516,1462,3421,16830,305,4215,2843,7780,4215,98.0,34.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,4987,326594,36571,96990,161995,11722,164015,73300,297164,164015,96.0,57.0
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,4510,238505,18727,72420,76379,15446,169969,167369,246504,169969,101.0,72.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,5711,307257,28897,75262,102607,7425,174344,107142,270699,174344,97.0,66.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,7320,372671,39416,123863,146389,15449,256051,188046,353628,256051,97.0,67.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,15013,347962,49585,137768,111313,21127,233604,212091,349008,233604,97.0,70.0
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,3373,198064,15625,42053,73191,5205,104708,45668,191541,104708,98.0,66.0
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,9752,404767,52483,104256,118463,12872,222126,118792,340251,222126,97.0,56.0
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,4851,400702,23444,103152,138247,14979,272295,171212,403052,272295,101.0,69.0
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,2456,295937,17819,55310,117943,5681,155076,121420,288495,155076,95.0,68.0
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,3308,113931,10758,43225,20075,16963,83016,112626,125535,83016,102.0,74.0
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,5051,309494,27235,71422,127046,9208,209698,141675,242038,209698,98.0,66.0
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,2135,223166,15263,43967,97577,6211,113995,47931,218749,113995,99.0,58.0
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,3367,391033,20265,102838,192330,8188,236020,159818,388674,236020,100.0,64.0
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,28397,640868,80086,212541,252546,40420,441131,378503,611989,441131,99.0,65.0
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,5200,314547,33903,50463,120959,11104,162411,74326,286629,162411,100.0,51.0
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,8791,363835,35207,111753,165796,20781,259899,286129,369749,259899,100.0,72.0
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,7971,562769,41751,143735,276586,14929,321848,206821,519944,321848,98.0,68.0
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,9070,224814,24817,107279,79637,21349,173033,214808,229830,173033,109.0,79.0
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,28842,507913,71593,198858,229196,42404,425707,490935,445638,425707,110.0,87.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,88737,771287,184167,429880,250078,135307,696129,774743,739614,696129,103.0,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,8250,244844,24863,86136,19378,21976,207519,246878,203816,207519,101.0,83.0
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,32653,511167,83940,217203,66300,44108,423337,530436,497016,423337,114.0,85.0
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,10378,237670,32484,76192,27736,19438,179664,245747,236961,179664,108.0,79.0
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,31542,630767,83133,233402,157906,58867,525754,626758,532705,525754,111.0,85.0
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,37849,464039,83999,221350,76041,73096,406922,464124,416985,406922,104.0,89.0
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,36791,641660,107602,250117,94227,54277,490719,668842,613671,490719,110.0,85.0
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,27909,730119,119918,203779,96908,59145,485406,754074,692169,485406,110.0,81.0
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,27162,587583,69440,180540,101999,43458,447169,564142,511877,447169,107.0,80.0
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,71621,783872,155321,381782,136964,96456,658734,780821,613196,658734,109.0,84.0
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,56148,721625,132774,338600,248933,84016,616644,727823,712186,616644,111.0,86.0
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,4712,149864,15944,51111,15359,13027,109972,170170,146524,109972,103.0,79.0
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,1290,81338,7266,31646,84977,2895,41067,29828,35107,41067,98.0,58.0
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,845071,619,84720,6016,22791,43637,2373,42898,26227,87957,42898,90.0,56.0
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,1712,277927,13306,74213,252422,4045,82475,73522,178778,82475,102.0,67.0
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,1158,181139,8516,30754,51163,3102,48847,45979,95231,48847,98.0,40.0
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,2109,230974,13755,82761,114524,5740,94586,81190,184872,94586,97.0,60.0
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,1166,107819,14368,50222,165675,4463,75539,68734,181907,75539,84.0,64.0
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,40788,452912,94729,266618,159808,60383,339750,352351,420371,339750,92.0,70.0
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,986,112420,5058,28237,37369,2142,58527,50613,110403,58527,95.0,54.0
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,1880,176056,15567,59704,197839,6206,82967,56851,120424,82967,88.0,54.0
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,3588,344875,20034,112383,158956,8235,138316,111901,245014,138316,96.0,62.0
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,1432,187731,10504,41158,116361,3031,66044,43355,90156,66044,91.0,59.0
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,616,97696,5251,34853,65191,2897,55966,35209,90102,55966,87.0,62.0
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,3518,270457,16523,55383,117794,9017,124826,112895,193157,124826,94.0,59.0
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,2388,349639,18626,66721,114497,8080,123750,126246,198890,123750,96.0,49.0
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,554,62372,6447,15179,26743,1291,13765,9945,12242,13765,100.0,54.0
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,2482,144248,11740,42147,76571,5968,80642,47903,118411,80642,91.0,53.0
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,15779,306859,46454,193947,194763,21313,232840,221052,278747,232840,86.0,67.0
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,986,95066,5376,27126,29025,3556,45661,51766,71326,45661,93.0,62.0
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,2871,198076,14456,84769,106654,7335,112371,122069,166373,112371,91.0,65.0
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,48691,593576,111478,382658,318881,64865,464337,480633,545277,464337,93.0,70.0
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,20443,452023,58601,235072,271469,26487,285248,286802,326960,285248,93.0,71.0
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,744,125411,5591,20240,31319,2215,22470,24293,46247,22470,99.0,34.0
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,2179,172416,13094,53578,133962,3958,76207,56180,74604,76207,95.0,61.0
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,912,143803,9042,35476,80798,2246,40591,33217,41648,40591,101.0,57.0
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,2324,239885,12507,52546,123272,5435,109904,68287,137166,109904,96.0,62.0
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,1781,131486,20172,71005,172169,5829,89156,75574,183336,89156,84.0,60.0
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,1945,145258,8342,42343,84293,4498,73279,46190,81157,73279,95.0,62.0
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,653,76097,8501,29795,96258,2219,30800,23811,46827,30800,91.0,54.0
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,1141,194373,9931,48384,64233,6017,87258,82664,153849,87258,90.0,62.0
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,1611,231130,12718,51499,85879,4185,76942,54463,146783,76942,96.0,52.0
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,3644,213825,14905,67192,106605,5757,107463,96263,151425,107463,97.0,57.0
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,3406,251132,31194,122371,302445,11833,109351,126470,113424,109351,93.0,61.0
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,4546,366494,24811,116753,174324,11291,160622,127876,251779,160622,89.0,65.0
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,3754,294702,22751,105499,251079,9401,117176,142613,120969,117176,93.0,62.0
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,1566,212138,11166,50655,82644,6041,100011,80229,144152,100011,92.0,60.0
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,1182,228695,10417,55984,140883,4048,66919,68267,112129,66919,98.0,63.0
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,1733,113184,10817,46513,132313,3819,45685,43590,45831,45685,97.0,57.0
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,1382,232735,10797,48671,105728,4200,88946,68975,164788,88946,94.0,59.0
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,273,74770,5393,17091,32178,1634,29266,18710,38510,29266,90.0,48.0
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,1852,148128,15304,44812,125237,5417,71501,52090,111617,71501,88.0,52.0
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,837,102228,10790,33067,90963,3320,26502,17833,27536,26502,96.0,53.0
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,1090,132725,10899,35034,153933,4139,62828,30506,95728,62828,90.0,52.0
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,7501,323379,27733,111290,163671,12167,181659,165304,260973,181659,96.0,62.0
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,839,67975,6360,18144,66004,1873,22502,19781,23450,22502,95.0,55.0
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,1926,181510,12888,59814,70884,5682,96565,73505,190365,96565,90.0,59.0
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,6163,314490,24232,112574,126856,9037,176674,180311,342367,176674,95.0,78.0
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,9438,512492,36185,203273,211384,15285,302188,342031,553087,302188,95.0,78.0
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,2932,227025,13165,67061,182892,5184,117299,168707,207488,117299,98.0,75.0
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,5614,402052,29198,129996,119991,12836,205352,136943,374363,205352,92.0,66.0
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,4767,423036,24877,113783,121784,10034,225282,195038,451231,225282,93.0,73.0
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,8239,418666,31419,126488,248585,12746,229635,229471,409521,229635,96.0,72.0
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,6065,315332,27139,114931,107616,10912,174524,127610,324594,174524,95.0,63.0
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,2866,239981,13595,57923,200918,5074,104997,151792,174150,104997,100.0,76.0
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,1221,159114,9676,38698,48246,3833,73640,73460,180484,73640,94.0,67.0
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,14297,720791,56775,229987,229955,19560,431221,316969,764674,431221,92.0,68.0
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,3791,288895,17236,64060,84022,8400,158182,141841,301447,158182,94.0,61.0
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,22269,770005,71879,335413,383946,49081,507573,612194,771669,507573,96.0,73.0
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,6217,381722,29758,153256,108626,13150,190739,178478,380772,190739,93.0,67.0
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,57964,917626,135750,493236,577214,71592,728714,753520,914291,728714,95.0,79.0
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,7548,488748,43055,156225,109371,12341,216364,217163,505657,216364,94.0,65.0
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,2579,186202,17047,58461,40529,6135,83144,91574,209973,83144,98.0,55.0
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,45039,904710,138887,373100,400486,79590,630639,551864,1000293,630639,93.0,71.0
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,3209,240042,18183,96847,93061,7974,117741,96586,271812,117741,92.0,69.0
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,3982,272486,21196,81333,82350,6973,135933,103819,270114,135933,95.0,63.0
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,235018,1925019,490260,1086650,735590,273326,1555272,1531966,1915302,1555272,91.0,76.0
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,7752,367352,31062,65700,49177,15191,163470,273162,348019,163470,112.0,74.0
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,13212,485126,49056,214003,335852,29515,310230,380072,517310,310230,97.0,73.0
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,14093,562653,57423,243457,246949,36046,374085,455235,575804,374085,99.0,74.0
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,3517,194228,15721,48418,39669,9264,98475,155696,181343,98475,104.0,78.0
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,15145,595560,59296,236302,419488,28219,376000,355107,698690,376000,94.0,67.0
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,256170,2231800,551643,961719,403936,172210,1741244,1627847,2207808,1741244,89.0,74.0
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,4313,266155,16260,93772,129060,6970,170620,171680,260962,170620,95.0,78.0
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,1875,196022,10757,47865,66675,3623,97022,87120,210412,97022,93.0,73.0
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,6094,446516,29917,123074,168661,12132,245261,198454,508756,245261,95.0,73.0
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,676,34364,3447,20074,25026,2009,23140,41441,16508,23140,100.0,66.0
Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,184,18764,1782,8105,7705,908,8319,23065,11611,8319,93.0,63.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,837,29894,4496,14523,12613,1807,17498,41638,28742,17498,97.0,71.0
Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,256,22798,2170,24940,6761,827,9623,29985,16321,9623,94.0,55.0
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,125,11541,1362,7102,826,495,5233,17284,10189,5233,94.0,60.0
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,880,49507,5110,28550,57139,3141,34893,78949,29742,34893,100.0,64.0
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,276,14026,2437,15636,1275,1107,7360,29549,28568,7360,94.0,71.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,288,24550,2368,2484,22238,1167,15115,46851,7915,15115,97.0,60.0
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,5032,135941,19306,61639,5188,15048,79933,111335,109102,79933,101.0,70.0
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,510,41677,4333,8039,1826,4790,17352,30960,45836,17352,101.0,47.0
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,179,10940,1625,826,2581,695,6721,15916,2347,6721,95.0,58.0
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,1630,51301,8872,10856,32839,3589,35051,73800,21585,35051,98.0,56.0
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,149,32873,2462,6450,3325,1683,12548,29492,15981,12548,98.0,60.0
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,4019,79804,21093,31310,4713,9581,59257,80980,73761,59257,101.0,85.0
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,186,23948,2263,4087,911,1237,13445,24612,21158,13445,98.0,80.0
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,367,14853,1986,2530,1119,867,8392,16632,11294,8392,96.0,78.0
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,162,9283,1329,2515,487,631,6657,15309,8506,6657,95.0,53.0
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,482,26394,3725,5509,1020,1982,15871,28570,22896,15871,95.0,75.0
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,90,12158,1073,1771,550,565,6263,14784,8945,6263,93.0,70.0
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,168,7400,1194,2204,143,507,4797,9981,7587,4797,98.0,75.0
Mizoram,Serchhip,23.263864705882344,92.914158496732,285,64937,131,12315,987,2128,482,702,7043,12317,11822,7043,98.0,84.0
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,378811,3303,71413,12077,27532,18820,10008,50453,72398,69407,50453,92.0,73.0
Nagaland,Kohima,25.60311428571428,93.78600657596373,270,267988,1928,50724,7982,23439,1472,8428,29077,37427,43001,29077,93.0,74.0
Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,194622,537,40154,2728,10299,2132,3805,20192,41057,41293,20192,93.0,82.0
Nagaland,Mon,26.69207374301676,95.03072988826828,261,250260,178,14398,2844,1772,2148,1007,5647,27663,28073,5647,90.0,48.0
Nagaland,Phek,25.63272986577182,94.56814563758392,266,163418,170,36182,1558,5926,549,1780,9553,29489,29897,9553,95.0,65.0
Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,196596,155,24998,2251,2760,355,1063,7687,22080,30295,7687,93.0,60.0
Nagaland,Wokha,26.202611551155112,94.1990815181518,264,166343,198,25268,1757,8030,2907,1592,10923,22108,29411,10923,97.0,77.0
Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,140757,261,28846,2008,5560,713,2258,9954,22868,26285,9954,98.0,73.0
Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,2320529,7370,296834,28289,105962,365510,8591,161266,145565,99843,161266,96.0,70.0
Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,1506337,2637,164636,15609,67536,184434,3670,86821,62233,58614,86821,98.0,73.0
Orissa,Cuttack,20.407640646029623,85.7776810228802,381,2624470,15046,349587,40589,181601,391982,15494,236867,205665,189715,236867,94.0,77.0
Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,1192811,1810,117172,10600,43064,159449,3533,66148,51080,43089,66148,95.0,70.0
Orissa,Gajapati,19.121080882352945,84.14015091911759,389,577817,635,63112,5523,12556,28704,656,23672,23322,21818,23672,104.0,45.0
Orissa,Ganjam,19.2632617564534,84.80297710437702,388,3529031,9049,405298,41059,97147,369914,9066,257515,215821,170397,257515,98.0,63.0
Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,579505,2498,81433,7555,22010,102328,3966,57831,35184,34457,57831,95.0,70.0
Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,1576869,1953,91171,12622,27385,226852,3547,58571,47442,43839,58571,100.0,51.0
Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,733110,768,28736,6609,14962,66979,1278,19477,19176,16664,19477,104.0,55.0
Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,1440361,1628,173107,11836,75926,189402,2686,96234,58387,53594,96234,101.0,76.0
Orissa,Khordha,20.054162322274863,85.52234834123229,386,2251673,35701,349860,75588,247498,325139,33514,253754,230413,230931,253754,93.0,78.0
Orissa,Koraput,18.82627794779476,82.81278469846964,398,1379647,3988,85766,17294,29000,112569,6922,60021,58682,74594,60021,103.0,41.0
Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,613192,448,24604,3908,5585,62048,820,16397,12839,14559,16397,102.0,40.0
Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,2519738,2950,140189,17999,72847,418435,6279,83167,109355,61298,83167,101.0,54.0
Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,1163,124984,8278,33148,141578,2270,50425,43798,30424,50425,92.0,71.0
Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,757,43976,4221,10131,107595,1346,21975,23219,15564,21975,102.0,49.0
Orissa,Puri,19.83509174603177,85.86698989898981,387,1698730,3416,201605,16006,87000,244309,4693,118112,87997,83906,118112,96.0,76.0
Orissa,Rayagada,19.292840020060204,83.45860120361095,396,967911,1553,61543,9166,17681,80566,2090,42998,33500,38841,42998,105.0,42.0
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,5231,126498,14521,45828,176565,5946,91058,56878,56306,91058,98.0,68.0
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,12787,223537,35024,94710,341323,14641,164585,132466,139057,164585,97.0,64.0
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,1868,47880,4870,18998,27503,2550,38869,30326,34908,38869,105.0,77.0
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,574,7150,1484,4475,868,858,6488,7041,7105,6488,118.0,87.0
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,207,12859,597,3836,6523,226,7393,10895,11899,7393,104.0,71.0
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,29961,461231,63864,142399,286368,56185,413460,379230,430958,413460,89.0,68.0
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,11284,255650,32253,70240,176384,36173,204051,232629,241449,204051,87.0,61.0
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,4348,113549,12276,29838,82761,15528,93053,99988,107033,93053,89.0,62.0
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,5138,113683,14294,34990,84834,18239,98080,99858,104467,98080,87.0,71.0
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,10042,349662,31070,82448,237901,37105,277615,274015,303760,277615,89.0,60.0
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,14428,411216,38445,104345,280874,32484,365644,258924,360051,365644,90.0,71.0
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,13747,319930,34328,93618,227316,33720,285904,210621,285730,285904,96.0,76.0
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,39082,446200,79134,162965,286365,72374,401189,392909,422876,401189,92.0,74.0
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,9732,161206,23145,48221,107044,23561,144945,137713,149071,144945,91.0,71.0
