State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,Households_with_Computer,Graduate_Education,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Television,Having_latrine_facility_within_the_premises_Total_Households,Having_bathing_facility_Total_Households,Households_with_Television,sex_ratio,literacy_rate
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,82345,17636,36887,157029,9295,70930,153723,123520,70930,96.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,44143,10615,11608,27808,2583,19998,119292,49075,19998,95.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,122063,26357,62608,164118,16081,92598,155435,145819,92598,96.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,122191,23468,55011,199425,10052,90941,180800,124575,90941,95.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,53918,11340,18225,97148,3934,56689,96932,51860,56689,95.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,70951,24699,21408,38218,3757,38570,210254,98861,38570,96.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,41373,14063,17287,115712,2996,32320,52532,28132,32320,96.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,60296,15011,44212,133214,6904,45689,117971,73904,45689,97.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,195631,45956,66994,333149,13979,127523,422431,250174,127523,96.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,68313,12360,39368,107774,4785,45938,103600,80855,45938,95.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,133368,31254,49901,275119,11760,106909,228882,177951,106909,96.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,5135,161718,27948,38152,168890,13323,111738,217556,167479,111738,95.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,2561,43290,29796,39627,279254,5041,40387,52549,225043,40387,92.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2362,44456,31168,91371,195301,7145,45871,84329,166509,45871,93.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,23258,589477,69937,253253,192027,33322,403594,360410,616355,403594,92.0,68.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2362,44456,31168,91371,195301,7145,45871,84329,166509,45871,93.0,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,23258,589477,69937,253253,192027,33322,403594,360410,616355,403594,92.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1704,62359,22300,35767,159201,3258,32859,46555,88429,32859,91.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,4644,120373,43127,101836,295852,9821,76761,186662,193224,76761,89.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,6764,174534,46929,118843,220531,8644,117040,189954,208730,117040,88.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,62153,34658,131137,206776,7391,87879,112983,216412,87879,91.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1784,46760,19324,64117,137996,5341,48405,64826,130771,48405,92.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,6280,127442,53205,129597,320695,10325,80085,202524,247667,80085,91.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,6856,112617,57011,131163,294227,11827,107970,167232,260921,107970,94.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,3707,69375,33596,79109,312727,9508,61380,84425,209045,61380,102.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,32633,22414,29633,113424,4842,27056,45733,64170,27056,92.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1106,27641,11302,45519,69637,2522,32086,50439,74772,32086,92.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,2941,60900,27263,57114,285976,5118,60110,108018,200849,60110,92.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1580,40641,21654,38697,99898,3120,31220,78061,88774,31220,89.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,1093,58718,14073,15386,177516,2436,28736,34858,108435,28736,95.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,1186,44491,8862,27261,49052,2415,31048,52316,60658,31048,90.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,23236,23309,44955,169936,4560,23209,52388,139028,23209,91.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,5319,113281,65548,137780,416574,11636,73851,166993,235903,73851,93.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,2653,90461,17946,64469,112707,3755,69973,102385,109560,69973,88.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,10290,180651,73012,138916,548802,23333,172027,256532,346386,172027,90.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,101378,43848,133032,121583,7955,87070,149675,180298,87070,92.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1841,31162,28411,64585,75606,3991,34020,77297,132057,34020,94.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,3495,57546,41143,70669,425249,10911,69056,112382,270894,69056,91.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,40692,546859,132582,452340,430595,49821,453344,507581,562795,453344,90.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,7719,74979,70258,68781,611212,19282,96546,179522,391064,96546,90.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,4170,86058,33664,59996,291919,8390,63200,87774,234013,63200,92.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,4594,114893,36279,161555,224824,10819,106218,128652,248462,106218,92.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,1668,41342,19415,47051,129847,3824,30518,61597,113421,30518,91.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,5379,88021,50918,129933,458268,10621,84248,159459,213527,84248,91.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,4509,94787,37442,148065,431759,10948,128169,137526,276656,128169,95.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,631,20065,8873,19676,33652,1728,16279,30019,35018,16279,93.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,478,10004,6698,10091,73447,1410,11722,30398,52118,11722,89.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,3460,66263,42461,70549,317432,7292,61089,152392,217626,61089,90.0,42.0
